"Easting","Northing","ETRS89GD-Lat","ETRS89GD-Long"
"524680","195111","+51.64099271","-0.19958016"
"132500","846500","+57.42978107","-6.45832649"
"134353","850769","+57.46910001","-6.43219213"
"142229","930499","+58.18771661","-6.38736876"
"143150","932158","+58.20311045","-6.37358071"
"148598","866497","+57.61811113","-6.21161660"
"167373","626330","+55.47529607","-5.68253006"
"173950","636900","+55.57316831","-5.58731634"
"173950","636900","+55.57316831","-5.58731634"
"177000","643000","+55.62927744","-5.54397516"
"180721","660754","+55.79019143","-5.49921207"
"181005","648528","+55.68067482","-5.48489521"
"191739","58385","+50.38836799","-4.93116840"
"193370","200137","+51.66193794","-4.98908859"
"197742","696597","+56.11913398","-5.25512782"
"200483","707563","+56.21865466","-5.21934456"
"201980","557960","+54.87709000","-5.08807169"
"202300","730929","+56.42900796","-5.20763970"
"203500","687500","+56.03993111","-5.15598012"
"203607","723291","+56.36103966","-5.18075718"
"207006","716929","+56.30536685","-5.12116149"
"208000","573000","+55.01440125","-5.00444350"
"216882","800853","+57.06219579","-5.02153803"
"217950","714520","+56.28808261","-4.94287093"
"218252","651517","+55.72287769","-4.89536880"
"219200","710100","+56.24890235","-4.91968015"
"221500","578500","+55.06879200","-4.79703349"
"222745","810690","+57.15273972","-4.93196248"
"223000","578000","+55.06484134","-4.77326237"
"223005","567000","+54.96611278","-4.76637354"
"223370","595995","+55.22648348","-4.77868459"
"223500","642500","+55.64389749","-4.80611920"
"224000","655000","+55.75625639","-4.80621945"
"224474","564039","+54.94005499","-4.74164477"
"225000","585000","+55.12837946","-4.74629129"
"225000","555000","+54.85910673","-4.72795044"
"225679","810840","+57.15520879","-4.88363389"
"226000","568000","+54.97614332","-4.72025523"
"226978","827215","+57.30260986","-4.87360171"
"227133","597446","+55.24083947","-4.72048404"
"230870","812928","+57.17588468","-4.79934786"
"231316","862293","+57.61894435","-4.82589505"
"231810","862261","+57.61884176","-4.81761336"
"231877","839888","+57.41814304","-4.80105335"
"231930","801320","+57.07212146","-4.77403109"
"232030","866235","+57.65457638","-4.81669659"
"232179","709714","+56.25020100","-4.71023167"
"233010","863187","+57.62759544","-4.79818880"
"234700","867700","+57.66870791","-4.77301374"
"238277","816488","+57.21050047","-4.67929317"
"238719","808777","+57.14146402","-4.66699133"
"240245","817495","+57.22022749","-4.64739651"
"242500","603500","+55.30033431","-4.48244122"
"242550","852250","+57.53289206","-4.63152690"
"244418","854547","+57.55414977","-4.60183274"
"245292","653952","+55.75412548","-4.46670590"
"246905","851695","+57.52940640","-4.55852106"
"247166","806833","+57.12690819","-4.52636495"
"247325","901540","+57.97681276","-4.58325120"
"247395","843655","+57.45742438","-4.54531771"
"248530","741735","+56.54310914","-4.46513199"
"249410","844225","+57.46321283","-4.51211945"
"249550","903550","+57.99560677","-4.54695273"
"250350","821750","+57.26182879","-4.48279695"
"252350","904150","+58.00193004","-4.50001099"
"253158","656019","+55.77513278","-4.34260271"
"254220","640867","+55.63942604","-4.31761603"
"255500","871500","+57.70996997","-4.42695544"
"255500","871000","+57.70548292","-4.42665506"
"256800","645435","+55.68120380","-4.27904637"
"256968","734182","+56.47795600","-4.32387348"
"257077","733908","+56.47552953","-4.32195515"
"257085","56194","+50.38820228","-4.01178457"
"257261","897258","+57.94168765","-4.41283713"
"257500","813500","+57.19006874","-4.35963425"
"257717","648148","+55.70583050","-4.26588426"
"259400","360000","+53.11860330","-4.10234630"
"259673","584952","+55.13898549","-4.20295477"
"261117","642821","+55.65898987","-4.20912187"
"261221","580243","+55.09713812","-4.17638900"
"261249","580839","+55.10249766","-4.17624138"
"261305","583127","+55.12305808","-4.17648126"
"261359","589083","+55.17655400","-4.17854830"
"261500","602500","+55.29706845","-4.18292859"
"261700","881900","+57.80525868","-4.32899545"
"264000","820120","+57.25146438","-4.25579945"
"265160","596516","+55.24435088","-4.12246035"
"265320","609703","+55.36280784","-4.12627241"
"265619","758237","+56.69644976","-4.19603054"
"265931","613982","+55.40139749","-4.11869436"
"266606","686412","+56.05191393","-4.14339477"
"267900","344400","+52.98063041","-3.96902114"
"267954","636995","+55.60858592","-4.09773360"
"268129","640258","+55.63793205","-4.09652119"
"268888","651781","+55.74160266","-4.08998791"
"269102","724133","+56.39126838","-4.12199327"
"269652","688422","+56.07080033","-4.09550409"
"270000","594000","+55.22305698","-4.04522705"
"270138","554581","+54.86909983","-4.02511427"
"270500","582500","+55.11991705","-4.03211006"
"272451","686495","+56.05425303","-4.04965547"
"272590","710500","+56.26982074","-4.05892933"
"273500","829000","+57.33390517","-4.10301106"
"275154","638500","+55.62400189","-3.98419913"
"275443","629080","+55.53948659","-3.97536016"
"276741","835240","+57.39080930","-4.05233934"
"278550","907550","+58.04038583","-4.05880876"
"278965","630750","+55.55537033","-3.92031510"
"279021","635662","+55.59949438","-3.92158096"
"280853","765408","+56.76496977","-3.95077139"
"281550","957550","+58.48998939","-4.03359559"
"283500","625500","+55.50932736","-3.84625506"
"284500","909500","+58.05947957","-3.95905512"
"286500","834500","+57.38670650","-3.88974047"
"288503","671903","+55.92722504","-3.78600272"
"288738","697461","+56.15679407","-3.79286128"
"288785","540522","+54.74731330","-3.72930620"
"288851","641743","+55.65645184","-3.76811681"
"288964","625283","+55.50865184","-3.75969750"
"289500","653500","+55.76218685","-3.76255746"
"290135","703250","+56.20910339","-3.77277893"
"290998","653991","+55.76693632","-3.73889367"
"291005","542348","+54.76420189","-3.69551995"
"292082","396482","+53.45401958","-3.62665028"
"292879","199365","+51.68279899","-3.55086163"
"293346","757790","+56.69959435","-3.74333944"
"293515","757730","+56.69909416","-3.74055613"
"293600","744600","+56.58121219","-3.73374891"
"294905","655232","+55.77894670","-3.67713235"
"295000","589000","+55.18410125","-3.65055797"
"295033","466313","+54.08200900","-3.60599977"
"296850","707550","+56.24922341","-3.66625304"
"300000","595000","+55.23903322","-3.57419255"
"300605","653760","+55.76693209","-3.58575982"
"300833","461449","+54.03945934","-3.51578480"
"300833","461449","+54.03945934","-3.51578480"
"302205","659690","+55.82051871","-3.56240119"
"302500","627500","+55.53145665","-3.54624488"
"302500","622500","+55.48654630","-3.54448488"
"302500","617500","+55.44163558","-3.54272978"
"302550","965650","+58.56790727","-3.67702933"
"303202","503793","+54.42033885","-3.49330203"
"304230","455334","+53.98516055","-3.46200365"
"306000","466842","+54.08888159","-3.43858613"
"307313","597397","+55.26199402","-3.46001820"
"310453","628117","+55.53852458","-3.42049179"
"311505","840495","+57.44609369","-3.47612094"
"311550","840550","+57.44659635","-3.47539133"
"312000","950000","+58.42941949","-3.50859732"
"312100","585100","+55.15240556","-3.38088886"
"313821","581690","+55.12207516","-3.35285554"
"315000","580000","+55.10709697","-3.33386870"
"315000","580000","+55.10709697","-3.33386870"
"315815","398892","+53.48000845","-3.26999960"
"316615","948900","+58.42044869","-3.42919999"
"318400","855900","+57.58572176","-3.36644052"
"318500","850500","+57.53724853","-3.36295579"
"319000","695100","+56.14169436","-3.30510928"
"319575","752228","+56.65489734","-3.31341464"
"319640","695487","+56.14527875","-3.29492986"
"320000","860000","+57.62282583","-3.34104328"
"320039","464000","+54.06571876","-3.22326100"
"320959","143307","+51.18350311","-3.13226764"
"321840","721031","+56.37508161","-3.26709385"
"324500","748500","+56.62223532","-3.23201428"
"325800","947400","+58.40863676","-3.27152122"
"326232","939965","+58.34195063","-3.26174396"
"327988","701561","+56.20117290","-3.16225648"
"328878","368331","+53.20728358","-3.06632553"
"329600","647500","+55.71579014","-3.12213749"
"331995","586055","+55.16412216","-3.06899427"
"332000","829500","+57.35088525","-3.13168206"
"332961","698416","+56.17364966","-3.08132625"
"333000","646200","+55.70459433","-3.06771187"
"333250","185006","+51.55996863","-2.96428603"
"334250","966250","+58.57925147","-3.13238287"
"340519","615032","+55.42556285","-2.94136338"
"341498","461449","+54.04568501","-2.89493708"
"341498","461449","+54.04568501","-2.89493708"
"343425","161749","+51.35198362","-2.81379770"
"344074","911416","+58.08821465","-2.95016244"
"344600","657500","+55.80757770","-2.88545326"
"344667","1010985","+58.98240510","-2.96435466"
"345050","653150","+55.76854969","-2.87739519"
"346153","841867","+57.46385334","-2.89924054"
"346582","657530","+55.80807100","-2.85384149"
"348050","642050","+55.66915931","-2.82747320"
"348214","839951","+57.44688530","-2.86448366"
"352414","377661","+53.29377446","-2.71537072"
"357000","660000","+55.83130491","-2.68803206"
"357655","815170","+57.22528325","-2.70293460"
"360531","1033828","+59.18928988","-2.69252249"
"361496","837303","+57.42442490","-2.64278820"
"364000","862000","+57.64645709","-2.60476044"
"367000","667500","+55.89947730","-2.52931730"
"368000","667000","+55.89505277","-2.51326682"
"368562","672486","+55.94437752","-2.50492100"
"370540","786500","+56.96876183","-2.48616933"
"371136","841396","+57.46190585","-2.48276411"
"373000","656300","+55.79922498","-2.43224999"
"373287","393037","+53.43344854","-2.40353795"
"375955","771728","+56.83637826","-2.39570500"
"380006","667129","+55.89686253","-2.32130336"
"383200","792000","+57.01880367","-2.27832027"
"383719","667227","+55.89788408","-2.26193527"
"387283","785873","+56.96389535","-2.21076584"
"395748","814283","+57.21926094","-2.07205272"
"412790","843093","+57.47789808","-1.78837877"
"429850","590374","+55.20672642","-1.53251863"
"433500","846500","+57.50745151","-1.44257917"
"438274","108147","+50.87155325","-1.45742667"
"446456","1142790","+60.16693802","-1.16472474"
"448472","93554","+50.73956923","-1.31442661"
"449969","327738","+52.84485779","-1.25953138"
"451077","182210","+51.53649152","-1.26495901"
"451077","182210","+51.53649152","-1.26495901"
"451747","531078","+54.67213389","-1.19913357"
"458275","517359","+54.54815128","-1.10064360"
"466650","427050","+53.73560866","-0.99110085"
"470307","378332","+53.29730894","-0.94658120"
"475532","351265","+53.05333653","-0.87458192"
"479368","384538","+53.35180358","-0.80911140"
"483280","411671","+53.59502801","-0.74317655"
"488447","266932","+52.29342317","-0.70455331"
"509793","428825","+53.74426977","-0.33668998"
"516717","419816","+53.66183339","-0.23514440"
"518189","412390","+53.59478960","-0.21569489"
"518401","299217","+52.57790601","-0.25411953"
"519049","256838","+52.19694436","-0.25959711"
"520457","409164","+53.56529316","-0.18268895"
"521488","105110","+50.83277644","-0.27618469"
"524944","320245","+52.76538181","-0.14965056"
"525000","95000","+50.74115749","-0.22977664"
"528439","411181","+53.58152245","-0.06141389"
"532446","190691","+51.59949919","-0.08908604"
"538365","209811","+51.76988754","+0.00389356"
"541677","436555","+53.80601984","+0.14997952"
"565166","178798","+51.48402031","+0.37736627"
"567020","368144","+53.18419943","+0.49808158"
"573300","363000","+53.13600125","+0.58918094"
"575000","361000","+53.11748711","+0.61347532"
"575000","361000","+53.11748711","+0.61347532"
"575000","361000","+53.11748711","+0.61347532"
"581973","173211","+51.42868402","+0.61628863"
"586916","174008","+51.43423591","+0.68773067"
"588672","172826","+51.42303828","+0.71233460"
"610671","364425","+53.13534561","+1.14793366"
"610671","364425","+53.13534561","+1.14793366"
"622317","208468","+51.73082840","+1.21804238"
"626000","426000","+53.68156264","+1.42073694"
"642078","197218","+51.62168982","+1.49585898"
"646316","262379","+52.20456991","+1.60351695"
"647453","260420","+52.18648383","+1.61869280"
"652534","307744","+52.60874276","+1.72850748"
"652658","176367","+51.42994052","+1.63343848"
"670237","231640","+51.91765992","+1.92845459"
"83233","842636","+57.36357422","-7.27050337"
