companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lat,lon,relevantBMU1,relevantBMU2,relevantBMU3,relevantBMU4,relevantBMU5,relevantBMU6
Falck Renewables SpA,Ben Aketil,Wind,Onshore,No,Wind,,27.6,LV,Scotland,Scotland,,NG311485,132500.0,846500.0,2007,57.42978107,-6.45832649,,,,,,
Vattenfall,Edinbane,Wind,Onshore,No,Wind,,41.4,HV,Scotland,Scotland,,,134353.0,850769.0,2009,57.46910001,-6.43219213,,,,,,
SSE Group,Arnish,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,10,HV,Scotland,Scotland,,,142229.0,930499.0,2000,58.18771661,-6.38736876,,,,,,
SSE Group,Stornoway,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,23,HV,Scotland,Scotland,,,143150.0,932158.0,1952,58.20311045,-6.37358071,,,,,,
SSE Group,Clachan,Hydro,Natural Flow,No,Hydro,,40,LV,Scotland,Scotland,,NN192133,148598.006933,866496.66653699998,1955,57.61811113,-6.2116166,,,,,,
SSE Group,Tangy Wind Farm - A,Wind,Onshore,No,Wind,,18.52,LV,Scotland,Scotland,,NR685282,167373.0,626330.0,2002,55.47529607,-5.68253006,,,,,,
Scottish Power,Beinn an Tuirc II,Wind,Onshore,No,Wind,,43.7,HV,Scotland,Scotland,PA286QY,,173950.0,636900.0,2012,55.57316831,-5.58731634,,,,,,
Scottish Power,Beinn an Tuirc I,Wind,Onshore,No,Wind,,29.7,LV,Scotland,Scotland,PA286QY,,173950.0,636900.0,2002,55.57316831,-5.58731634,,,,,,
RWE Npower,Deucheran Hill (RO),Wind,Onshore,No,Wind,,15.8,LV,Scotland,Scotland,,,177000.0,643000.0,2001,55.62927744,-5.54397516,,,,,,
RES Group,Freasdail (GB),Wind,Onshore,No,Wind,,22.5,HV,Scotland,Scotland,PA296XR,,180721.0,660754.0,2017,55.79019143,-5.49921207,,,,,,
RES Group,Cour Wind Farm,Wind,Onshore,No,Wind,,20.5,HV,Scotland,Scotland,PA286QL,,181005.0,648528.0,2017,55.68067482,-5.48489521,,,,,,
Energy Capital Partners,Indian Queens Power Ltd,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,140,HV,England,South West,,SW940591,191739.0,58385.0,1996,50.38836799,-4.9311684,,,,,,
RWE Npower,Pembroke,Fossil Fuel,CCGT,No,Natural Gas,,2199,HV,Wales,Wales,SA715SS,,193370.0,200137.0,2012,51.66193794,-4.98908859,,,,,,
Venitent Energy Services,A'Chruach,Wind,Onshore,No,Wind,,42.6,HV,Scotland,Scotland,PA318BA,,197742.0,696597.0,2016,56.11913398,-5.25512782,,,,,,
RWE Npower,An Suidhe,Wind,Onshore,No,Wind,,19.3,HV,Scotland,Scotland,,,200483.0,707563.0,2005,56.21865466,-5.21934456,,,,,,
Greencoat Capital,North Rhins,Wind,Onshore,No,Wind,,22,LV,Scotland,Scotland,,,201980.0,557960.0,2009,54.87709,-5.08807169,,,,,,
SSE Group,Inverawe,Hydro,Natural Flow,No,Hydro,,25,LV,Scotland,Scotland,PA351HQ,,202299.54597899999,730929.48161799996,1963,56.42900796,-5.2076397,,,,,,
Scottish Power,Cruach Mhor,Wind,Onshore,No,Wind,,29.75,LV,Scotland,Scotland,PA223AE,,203500.0,687500.0,2004,56.03993111,-5.15598012,,,,,,
SSE Group,"Nant Power Station - A,E",Hydro,Natural Flow,No,Hydro,,15,HV,Scotland,Scotland,,NN016207,203606.80395999999,723291.404201,1963,56.36103966,-5.18075718,,,,,,
Part of Drax Group,Cruachan,Pumped Hydro,Pumped Hydro,No,Pumped hydro,,440,HV,Scotland,Scotland,PA331AN,,207006.0,716929.0,1965,56.30536685,-5.12116149,,,,,,
Scottish Power,Glen App,Wind,Onshore,No,Wind,,22,HV,Scotland,Scotland,KA260PG,,208000.0,573000.0,2017,55.01440125,-5.0044435,,,,,,
SSE Group,"Quoich Power Station - A, E, G",Hydro,Natural Flow,No,Hydro,,18.05,LV,Scotland,Scotland,,NH107012,216881.8432,800852.89049999998,1955,57.06219579,-5.02153803,,,,,,
