companyName,siteName,technology,type,chp,primaryFuel,secondaryFuel,installedCapacity,gridConnectionType,country,region,postcode,osReference,Easting,Northing,yearCommissioned,lon,lat,bmus,bmus,bmus,bmus,bmus,bmus
Part of Drax Group,Drax Power Station Biomass Units,Bioenergy,Bioenergy,No,Biomass,,2640,HV,England,Yorkshire and the Humber,YO88PH,,466650,427050,2013,-0.99110085,53.73560866,T_DRAXX-1,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6
RWE Npower,Pembroke,Fossil Fuel,CCGT,No,Natural Gas,,2199,HV,Wales,Wales,SA715SS,,193370,200137,2012,-4.98908859,51.66193794,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,
RWE Npower,Staythorpe,Fossil Fuel,CCGT,No,Natural Gas,,1828,HV,England,East Midlands,NG235RQ,,475532,351265,2010,-0.87458192,53.05333653,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,,
Engie Power,Dinorwig Power Station,Pumped Hydro,Pumped Hydro,No,Pumped hydro,,1800,HV,Wales,Wales,,SH594600,259400,360000,1984,-4.1023463,53.1186033,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6
RWE Npower,Didcot B,Fossil Fuel,CCGT,No,Natural Gas,,1450,HV,England,South East,OX117YU,,451077,182210,1998,-1.26495901,51.53649152,T_DIDCB5,T_DIDCB6,,,,
Orsted,Hornsea 02,Wind,Offshore,No,Wind,,1386,,England,East Midlands,,,,,2022,1.4208,53.6815,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,,,
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Natural Gas,,1380,HV,Wales,Wales,CH54BP,,328878,368331,1996,-3.06632553,53.20728358,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,,
Uniper UK,Grain,Fossil Fuel,CCGT,Yes,Natural Gas,,1365,HV,England,South East,ME30AR,,588672,172826,2011,0.7123346,51.42303828,T_GRAI-6,T_GRAI-7,T_GRAI-8,,,
EPUKi,EP SHB LTD,Fossil Fuel,CCGT,No,Natural Gas,,1365,HV,England,Yorkshire and the Humber,DN418BZ,,520457,409164,1997,-0.18268895,53.56529316,T_SHBA-1,T_SHBA-2,,,,
UK Transition Limited,West Burton CCGT,Fossil Fuel,CCGT,No,Natural Gas,,1332,HV,England,East Midlands,DN229BL,,479368,384538,2013,-0.8091114,53.35180358,T_WBURB-1,T_WBURB-2,T_WBURB-3,,,
Vitol,VPI,Fossil Fuel,CCGT,Yes,Natural Gas,,1268,HV,England,Yorkshire and the Humber,DN403DZ,,518189,412390,2004,-0.21569489,53.5947896,T_HUMR-1,,,,,
EDF Energy,Heysham 2,Nuclear,AGR,No,Nuclear,,1240,HV,England,North West,LA32XH,,341498,461449,1988,-2.89493708,54.04568501,T_HEYM27,T_HEYM28,,,,
Co-owned by SSE Group and Cheung Kong Infrastructure Ltd,Seabank Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,1234,HV,England,South West,,,343425,161749,2000,-2.8137977,51.35198362,T_SEAB-1,T_SEAB-2,,,,
Orsted,Hornsea 01,Wind,Offshore,No,Wind,,1218,HV,England,North East,,,626000,426000,2019,1.4207,53.6815,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,,,
SSE Group and Equinor,Dogger Bank A,Wind,Offshore,No,Wind,,1200,,England,North East,,,,,2024,2.33333333,54.8333333,T_DBAWO-1,T_DBAWO-2,T_DBAWO-3,T_DBAWO-4,T_DBAWO-5,
Energy Capital Partners,Saltend Power Station,Fossil Fuel,CCGT,Yes,Natural Gas,,1200,HV,England,Yorkshire and the Humber,HU128GA,,509793,428825,2000,-0.33668998,53.74426977,T_SCCL-1,T_SCCL-2,T_SCCL-3,,,
EDF Energy,Torness,Nuclear,AGR,No,Nuclear,,1200,HV,Scotland,Scotland,EH421QS,,218252,651517,1988,-2.409,55.968,T_TORN-1,T_TORN-2,,,,
EDF Energy,Sizewell B,Nuclear,PWR,No,Nuclear,,1198,HV,England,East of England,IP164UR,,647453,260420,1995,1.6186928,52.18648383,T_SIZB-1,T_SIZB-2,,,,
EDF Energy,Hartlepool,Nuclear,AGR,No,Nuclear,,1185,HV,England,North East,TS252BZ,,451747,531078,1983,-1.19913357,54.67213389,T_HRTL-1,T_HRTL-2,,,,
SSE Group,Peterhead,Fossil Fuel,CCGT,No,Natural Gas,,1180,HV,Scotland,Scotland,AB423BZ,,412790,843093,1980,-1.78837877,57.47789808,T_PEHE-1,,,,,
SSE Group,Seagreen,Wind,Offshore,No,Wind,,1075,,Scotland,Scotland,,NO399369,,,2022,-1.9266,56.6355,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6
EDF Energy,Heysham 1,Nuclear,AGR,No,Nuclear,,1060,HV,England,North West,LA32XH,,341498,461449,1983,-2.89493708,54.04568501,T_HEYM11,T_HEYM12,,,,
EDF Energy,Hinkley Point B,Nuclear,AGR,No,Nuclear,,965,HV,England,South West,TA51UD,,320959,143307,1976,-3.13226764,51.18350311,T_HINB-7,T_HINB-8,,,,
Intergen,Spalding Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,950,HV,England,East Midlands,,,524944,320245,2004,-0.14965056,52.76538181,T_SPLN-1,,,,,
Moray Offshore Windfarm (East) Ltd,Moray Offshore Windfarm East Limited,Wind,Offshore,No,Wind,,950,,Scotland,Scotland,AB43 9BR,,,,2021,-2.721,58.188,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,,,
Moray Offshore Windfarm (West) Ltd,Moray Offshore Windfarm West Limited,Wind,Offshore,No,Wind,,950,,Scotland,Scotland,,,,,2021,-3.007,58.097,T_MOWWO-1,T_MOWWO-2,T_MOWWO-3,T_MOWWO-4,,
ESB,Carrington Power,Fossil Fuel,CCGT,No,Natural Gas,,910,HV,England,North West,M314AY,,373287,393037,2016,-2.40353795,53.43344854,T_CARR-1,T_CARR-2,,,,
EPUKi,EP Langage Ltd,Fossil Fuel,CCGT,No,Natural Gas,,905,HV,England,South West,PL75AW,,257085,56194,2010,-4.01178457,50.38820228,T_LAGA-1,,,,,
Marchwood Power,Marchwood Power,Fossil Fuel,CCGT,No,Natural Gas,,898,HV,England,South East,SO404BD,,438274,108147,2009,-1.45742667,50.87155325,T_MRWD-1,,,,,
RWE Npower,Triton Knoll,Wind,Offshore,No,Wind,,857,HV,England,Yorkshire and the Humber,,TA 25405 11338,,,2021,0.839,53.478,T_TKNEW-1,T_TKNWW-1,,,,
Calon Energy,Severn Power Ltd,Fossil Fuel,CCGT,No,Natural Gas,,850,LV,England,0,,,333250,185006,2010,-2.96428603,51.55996863,T_SVRP-10,T_SVRP-20,,,,
SSE Group,Keadby 2,Fossil Fuel,CCGT,,Natural Gas,,840,,England,East Midlands,,,,,2023,-0.75044,53.59444,T_KEAD-2,,,,,
Intergen,Rocksavage Power Company Ltd ,Fossil Fuel,CCGT,No,Natural Gas,,810,HV,England,North West,,,352414,377661,1998,-2.71537072,53.29377446,T_ROCK-1,,,,,
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805,HV,England,South East,ME39TX,,581973,173211,2000,0.61628863,51.42868402,T_DAMC-1,,,,,
Intergen,Coryton Energy Company Ltd,Fossil Fuel,CCGT,No,Natural Gas,,800,HV,England,South East,,,565166,178798,2002,0.37736627,51.48402031,T_COSO-1,,,,,
SSE Group,Medway,Fossil Fuel,CCGT,No,Natural Gas,,755,HV,England,South East,ME30AG,,586916,174008,1995,0.68773067,51.43423591,T_MEDP-1,,,,,
