nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId,
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,TRUE,Aberdare Power Station,UKPR,0,15.4,C,0.0093156,0,0,6.16,6.16,TRUE,FALSE,_K,South Wales,,
ABRBO-1,T_ABRBO-1,48W00000ABRBO-19,WIND,Aberdeen Offshore Wind Farm,T,TRUE,ABRBO-1,ABERDEEN,-2,99,P,-0.0256767,-0.8,-0.8,39.6,39.6,TRUE,FALSE,,,,
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,TRUE,Auchrobert Wind Farm,NPOWER02,-10,36,C,-0.0122086,-4,-4,14.4,14.4,TRUE,FALSE,_N,SOUTH of SCOTLAND GSP,,
ACHLW-1,C__PSMAR001,,WIND,Smartestenergy Limited,S,TRUE,C__PSMAR001-AAA-ACH-183,SMARTEST,0,9.978,C,-0.0256767,0,0,3.709,3.709,FALSE,FALSE,_P,NORTH of SCOTLAND GSP,,
ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,TRUE,AChruach Wind Farm,AIRGEN2,-2,42.6,P,-0.0256767,-0.8,-0.8,17.04,17.04,TRUE,FALSE,,,,
ACHYW-1,,,WIND,,,,,,,,,,,,,,FALSE,FALSE,,,,
AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,TRUE,Afton Wind Farm,AFTON,-2,50,P,-0.0122086,-0.8,-0.8,20,20,TRUE,FALSE,,,,
AG-ADL00B,V__BADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_B,ADELA,0,0,P,0.0064338,0,0,0,0,TRUE,FALSE,_B,East Midlands,,
AG-ADL01M,V__MADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_M,ADELA,0,0,P,-0.0043908,0,0,0,0,TRUE,FALSE,_M,Yorkshire,,
AG-ADL02G,V__GADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_G,ADELA,0,0,P,-0.0021896,0,0,0,0,TRUE,FALSE,_G,North Western,,
AG-ADL03E,V__EADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_E,ADELA,0,0,P,0.0150195,0,0,0,0,TRUE,FALSE,_E,Midlands,,
AG-ADL04H,V__JADEL001,,,Adela Energy Ltd,V,TRUE,ADELA_SBMU_J,ADELA,0,0,P,0.0084878,0,0,0,0,TRUE,FALSE,_J,South Eastern,,
AG-ADL05H,V__HADEL002,,,Adela Energy Ltd,V,TRUE,V__HADEL002,ADELA,0,0,P,0.0160206,0,0,0,0,TRUE,FALSE,_H,Southern,,
AG-AECO01,2__AECOT003,,,ECOTRICITY LIMITED,S,TRUE,ECOT_VPP_10,RENC,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AEDF01,2__ALOND001,48X000000000095K,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Eastern 01,LENCO,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AEDF02,2__ALOND002,,,EDF Energy Customers Limited,S,TRUE,EDFE Aggregate Eastern 02,LENCO,0,0,C,0.0049362,0,0,0,0,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AFLX01,2__AFLEX001,,,Flexitricity Limited,S,TRUE,2__AFLEX001,FLEXTRCY,0,49,C,0.0049362,0,0,10.29,10.29,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AFLX02,2__AFLEX002,,,Flexitricity Limited,S,TRUE,2__AFLEX002,FLEXTRCY,0,49,C,0.0049362,0,0,10.29,10.29,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AFLX03,2__AFLEX003,,,Flexitricity Limited,S,TRUE,2__AFLEX003,FLEXTRCY,0,49,C,0.0049362,0,0,2.504,2.504,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AFLX04,2__AFLEX004,,,Flexitricity Limited,S,TRUE,2__AFLEX004,FLEXTRCY,0,49,C,0.0049362,0,0,2.298,2.298,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AFLX05,2__AFLEX005,,,Flexitricity Limited,S,TRUE,2__AFLEX005,FLEXTRCY,0,49,C,0.0049362,0,0,1.563,1.563,FALSE,FALSE,_A,Eastern GSP Group,,
AG-AHAR01,2__APOWQ001,,,Hartree Partners Supply UK,S,TRUE,2__APOWQ001,POWQ,-4.2,7.5,C,0.0049362,-1.623,-1.412,2.899,2.522,FALSE,FALSE,_A,Eastern GSP Group,,
