nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,true,Aberdare Power Station,UKPR,0.000,15.400,C,0.0162007,0.000,0.000,6.160,6.160,true,false,_K,South Wales,
ABRBO-1,T_ABRBO-1,48W00000ABRBO-19,WIND,Aberdeen Offshore Wind Farm,T,true,ABRBO-1,ABERDEEN,-2.000,99.000,P,-0.0301340,-0.800,-0.800,39.600,39.600,true,false,,,
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,true,Auchrobert Wind Farm,NPOWER02,-10.000,36.000,C,-0.0088069,-4.000,-4.000,14.400,14.400,true,false,_N,South Scotland,
ACHLW-1,C__PSMAR001,,WIND,Smartestenergy Limited,S,true,C__PSMAR001-AAA-ACH-183,SMARTEST,0.000,9.978,C,-0.0301340,0.000,0.000,3.186,3.186,false,false,_P,North Scotland,
ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,true,AChruach Wind Farm,AIRGEN2,-2.000,42.600,P,-0.0301340,-0.800,-0.800,17.040,17.040,true,false,,,
ACHYW-1,,,WIND,,,,,,,,,,,,,,false,false,,,
AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,true,Afton Wind Farm,AFTON,-2.000,50.000,P,-0.0088069,-0.800,-0.800,20.000,20.000,true,false,,,
AG-ADL00B,V__BADEL001,,,Adela Energy Ltd,V,true,ADELA_SBMU_B,ADELA,0.000,0.000,P,0.0073472,0.000,0.000,0.000,0.000,true,false,_B,East Midlands,
AG-ADL01M,V__MADEL001,,,Adela Energy Ltd,V,true,ADELA_SBMU_M,ADELA,0.000,0.000,P,-0.0051169,0.000,0.000,0.000,0.000,true,false,_M,Yorkshire,
AG-ADL02G,V__GADEL001,,,Adela Energy Ltd,V,true,ADELA_SBMU_G,ADELA,0.000,0.000,P,-0.0048159,0.000,0.000,0.000,0.000,true,false,_G,North Western,
AG-ADL03E,V__EADEL001,,,Adela Energy Ltd,V,true,ADELA_SBMU_E,ADELA,0.000,0.000,P,0.0151602,0.000,0.000,0.000,0.000,true,false,_E,Midlands,
AG-ADL04H,V__JADEL001,,,Adela Energy Ltd,V,true,ADELA_SBMU_J,ADELA,0.000,0.000,P,0.0120522,0.000,0.000,0.000,0.000,true,false,_J,South Eastern,
AG-ADL05H,V__HADEL002,,,Adela Energy Ltd,V,true,V__HADEL002,ADELA,0.000,0.000,P,0.0199799,0.000,0.000,0.000,0.000,true,false,_H,Southern,
AG-AECO01,2__AECOT003,,,ECOTRICITY LIMITED,S,true,ECOT_VPP_10,RENC,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AEDF01,2__ALOND001,48X000000000095K,,EDF Energy Customers Limited,S,true,EDFE Aggregate Eastern 01,LENCO,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AEDF02,2__ALOND002,,,EDF Energy Customers Limited,S,true,EDFE Aggregate Eastern 02,LENCO,0.000,0.000,C,0.0049362,0.000,0.000,0.000,0.000,false,false,_A,Eastern GSP Group,
AG-AEDF03,2__ALOND003,,,EDF Energy Customers Limited,S,true,EDFE Aggregate East Eng 3,LENCO,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AEDF04,2__ALOND004,,,EDF Energy Customers Limited,S,true,EDFE Aggregate East Eng 4,LENCO,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AFLX01,2__AFLEX001,,,Flexitricity Limited,S,true,2__AFLEX001,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,false,false,_A,Eastern GSP Group,
AG-AFLX02,2__AFLEX002,,,Flexitricity Limited,S,true,2__AFLEX002,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,false,false,_A,Eastern GSP Group,
AG-AFLX03,2__AFLEX003,,,Flexitricity Limited,S,true,2__AFLEX003,FLEXTRCY,0.000,49.000,C,0.0042196,0.000,0.000,3.229,3.229,false,false,_A,Eastern,
AG-AFLX04,2__AFLEX004,,,Flexitricity Limited,S,true,2__AFLEX004,FLEXTRCY,0.000,49.000,C,0.0042196,0.000,0.000,2.822,2.822,false,false,_A,Eastern,
AG-AFLX05,2__AFLEX005,,,Flexitricity Limited,S,true,2__AFLEX005,FLEXTRCY,0.000,49.000,C,0.0042196,0.000,0.000,2.484,2.484,false,false,_A,Eastern,
AG-AHAR01,2__APOWQ001,,,Hartree Partners Supply UK,S,true,2__APOWQ001,POWQ,-4.200,7.500,C,0.0042196,-1.721,-1.474,3.074,2.633,false,false,_A,Eastern,
AG-ALIM01,2__ALIME000,,,Limejump Energy Limited,G,false,2__ALIME000,ANGEL,0.000,40.000,C,0.0078652,0.000,0.000,8.800,8.800,false,false,_A,Eastern GSP Group,
AG-ALIM02,2__AANGE001,,,Limejump Energy Limited,S,false,2__AANGE001,ANGEL,-1.000,80.000,C,0.0042196,-0.410,-0.351,32.784,28.080,false,false,_A,Eastern,
AG-ALIM03,2__AANGE002,,,Limejump Energy Limited,S,true,2__AANGE002,ANGEL,0.000,50.000,C,0.0078652,0.000,0.000,11.000,11.000,false,false,_A,Eastern GSP Group,
AG-ALIM04,2__AANGE003,,,Limejump Energy Limited,S,false,2__AANGE003,ANGEL,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AOCT01,2__AMRCY001,,,Octopus Energy Limited,S,true,2__AMRCY001,MERCURY,-12.200,0.000,C,0.0042196,-3.525,-3.797,0.000,0.000,false,false,_A,Eastern,
AG-ASTK01,2__ASTAT001,,,Statkraft Markets Gmbh,S,true,STAT_A2,STATKRA1,0.000,20.000,C,0.0042196,0.000,0.000,3.800,3.800,false,false,_A,Eastern,
AG-ASTK02,2__ASTAT002,,,Statkraft Markets Gmbh,S,true,STAT_A3,STATKRA1,0.000,20.000,C,0.0042196,0.000,0.000,3.800,3.800,false,false,_A,Eastern,
AG-ASTK03,2__ASTAT003,,,Statkraft Markets Gmbh,S,true,STAT_A4,STATKRA1,-4.000,42.000,C,0.0042196,-1.019,-0.582,10.697,6.107,false,false,_A,Eastern,
AG-ASTK04,2__ASTAT004,,,Statkraft Markets Gmbh,S,true,STAT_A5,STATKRA1,-5.000,5.000,C,0.0042196,-2.049,-1.755,2.049,1.755,false,false,_A,Eastern,
AG-ASTK05,2__ASTAT005,,,Statkraft Markets Gmbh,S,true,STAT_A6,STATKRA1,-52.000,50.000,C,0.0042196,-0.447,-0.541,0.430,0.520,false,false,_A,Eastern,
AG-ASTK06,2__ASTAT006,,,Statkraft Markets Gmbh,S,true,STAT_A7,STATKRA1,-2.000,20.000,C,0.0042196,-0.820,-0.702,8.196,7.020,false,false,_A,Eastern,
AG-ASTK07,2__ASTAT007,,,Statkraft Markets Gmbh,S,true,STAT_A8,STATKRA1,-2.000,20.000,C,0.0042196,-0.820,-0.702,8.196,7.020,false,false,_A,Eastern,
AG-ASTK08,2__ASTAT008,,,Statkraft Markets Gmbh,S,true,STAT_A9,STATKRA1,-12.970,16.000,C,0.0042196,-5.315,-4.552,6.557,5.616,false,false,_A,Eastern,
AG-ASTK09,2__ASTAT009,,,Statkraft Markets Gmbh,S,true,STAT_A10,STATKRA1,0.000,12.000,C,0.0042196,0.000,0.000,2.280,2.280,false,false,_A,Eastern,
AG-ASTK99,2__ASTAT099,,,Statkraft Markets Gmbh,S,true,STAT_A99,STATKRA1,-15.000,15.000,C,0.0042196,-6.147,-5.265,6.147,5.265,false,false,_A,Eastern,
AG-AUKP01,2__AUKPR001,,,UK Power Reserve Limited,S,true,UKPR East,UKPR,0.000,0.000,C,0.0042196,0.000,0.000,0.000,0.000,false,false,_A,Eastern,
AG-AXL00K,V__KAXLE001,,,Axle Energy Ltd,V,true,V__KAXLE001,AXLEENER,0.000,0.000,C,0.0217596,0.000,0.000,0.000,0.000,false,false,_K,South Wales,
AG-BEDF01,2__BLOND001,,,EDF Energy Customers Limited,S,true,EDFE Aggregate E Mids 01,LENCO,0.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,false,false,_B,East Midlands,
AG-BEDF02,2__BLOND002,,,EDF Energy Customers Limited,S,true,EDFE Aggregate E Mids 02,LENCO,0.000,0.000,C,0.0064338,0.000,0.000,0.000,0.000,false,false,_B,East Midlands,
AG-BEDF03,2__BLOND003,,,EDF Energy Customers Limited,S,true,EDFE Aggregate E Mids 03,LENCO,-2.000,20.000,C,0.0073472,-0.770,-0.646,7.704,6.464,false,false,_B,East Midlands,
AG-BEDF04,2__BLOND004,,,EDF Energy Customers Limited,S,true,EDFE Aggregate E Mids 04,LENCO,0.000,0.000,C,0.0073472,0.000,0.000,0.000,0.000,false,false,_B,East Midlands,
AG-BEDG01,2__BEDGE001,,,Edgware Energy Limited,S,true,2__BEDGE001,EDGWARE,0.000,49.900,C,0.0073472,0.000,0.000,9.481,9.481,false,false,_B,East Midlands,
AG-BFLX01,2__BFLEX001,,,Flexitricity Limited,S,true,2__BFLEX001,FLEXTRCY,0.000,49.000,C,0.0073472,0.000,0.000,0.711,0.711,false,false,_B,East Midlands,
AG-BFLX02,2__BFLEX002,,,Flexitricity Limited,S,false,2__BFLEX002,FLEXTRCY,0.000,49.000,C,0.0073472,0.000,0.000,9.310,9.310,false,false,_B,East Midlands,
AG-BFLX03,2__BFLEX003,,,Flexitricity Limited,S,true,2__BFLEX003,FLEXTRCY,0.000,49.000,C,0.0073472,0.000,0.000,9.604,9.604,false,false,_B,East Midlands,
AG-BFLX04,2__BFLEX004,,,Flexitricity Limited,S,true,2__BFLEX004,FLEXTRCY,0.000,49.000,C,0.0073472,0.000,0.000,0.397,0.397,false,false,_B,East Midlands,
AG-BHAR01,2__BPOWQ001,,,Hartree Partners Supply UK,S,true,2__BPOWQ001,POWQ,0.000,8.000,C,0.0073472,0.000,0.000,1.520,1.520,false,false,_B,East Midlands,
AG-BLIM01,2__BLIME000,,,Limejump Energy Limited,G,false,2__BLIME000,ANGEL,0.000,50.000,C,0.0067476,0.000,0.000,11.000,11.000,false,false,_B,East Midlands,
AG-BLIM02,2__BANGE001,,,Limejump Energy Limited,S,false,2__BANGE001,ANGEL,-18.000,50.000,C,0.0073472,-6.934,-5.818,19.260,16.160,false,false,_B,East Midlands,
AG-BLIM03,2__BANGE002,,,Limejump Energy Limited,S,false,2__BANGE002,ANGEL,0.000,50.000,C,0.0073472,0.000,0.000,9.500,9.500,false,false,_B,East Midlands,
AG-BLIM04,2__BANGE003,,,Limejump Energy Limited,S,false,2__BANGE003,ANGEL,-5.340,2.080,C,0.0073472,-2.057,-1.726,0.801,0.672,false,false,_B,East Midlands,
AG-BOCT01,2__BMRCY001,,,Octopus Energy Limited,S,true,AG-BOCT01,MERCURY,-5.000,0.000,C,0.0073472,-1.926,-1.616,0.000,0.000,false,false,_B,East Midlands,
AG-BSMA01,2__BSMAR002,,,Smartestenergy Limited,S,true,2__BSMAR002,SMARTEST,-50.000,50.000,C,0.0054492,-23.640,-21.495,23.640,21.495,false,false,_B,East Midlands,
AG-BSMA02,2__BSMAR003,,,Smartestenergy Limited,S,true,2__BSMAR003,SMARTEST,-50.000,50.000,C,0.0054492,-23.640,-21.495,23.640,21.495,false,false,_B,East Midlands,
AG-BSTK01,2__BSTAT001,,,Statkraft Markets Gmbh,S,true,STAT_B2,STATKRA1,0.000,4.000,C,0.0073472,0.000,0.000,0.240,0.240,false,false,_B,East Midlands,
AG-BSTK02,2__BSTAT002,,,Statkraft Markets Gmbh,S,true,STAT_B3,STATKRA1,0.000,6.000,C,0.0073472,0.000,0.000,1.218,1.218,false,false,_B,East Midlands,
AG-BSTK03,2__BSTAT003,,,Statkraft Markets Gmbh,S,true,STAT_B4,STATKRA1,0.000,16.000,C,0.0073472,0.000,0.000,0.229,0.229,false,false,_B,East Midlands,
AG-BSTK04,2__BSTAT004,,,Statkraft Markets Gmbh,S,true,STAT_B5,STATKRA1,-2.000,10.000,C,0.0073472,-0.770,-0.646,3.852,3.232,false,false,_B,East Midlands,
AG-BSTK99,2__BSTAT099,,,Statkraft Markets Gmbh,S,true,STAT_B99,STATKRA1,-15.000,15.000,C,0.0073472,-5.778,-4.848,5.778,4.848,false,false,_B,East Midlands,
AG-BUKP01,2__BUKPR001,,,UK Power Reserve Limited,S,true,UKPR East Mids,UKPR,-10.000,10.000,C,0.0073472,-1.079,-1.046,1.079,1.046,false,false,_B,East Midlands,
AG-CBS02L,V__LCEND001,,,Centrica Business Solutions UK,V,true,Wavehub,CENDEPUK,0.000,0.000,P,0.0214735,0.000,0.000,0.000,0.000,true,false,_L,South Western,
AG-CBS05L,V__LCEND005,,,Centrica Business Solutions UK,V,true,V__LCEND005,CENDEPUK,0.000,0.000,P,0.0214735,0.000,0.000,0.000,0.000,true,false,_L,South Western,
AG-CBS06B,V__BCEND004,,,Centrica Business Solutions UK,V,true,V__BCEND004,CENDEPUK,0.000,0.000,P,0.0073472,0.000,0.000,0.000,0.000,true,false,_B,East Midlands,
AG-CBS07B,V__ECEND007,,,Centrica Business Solutions UK,V,true,V__ECEND007,CENDEPUK,0.000,0.000,P,0.0217983,0.000,0.000,0.000,0.000,true,false,_E,Midlands,
AG-CBS08M,V__MCEND001,,,Centrica Business Solutions UK,V,true,Brigg Battery,CENDEPUK,0.000,0.000,P,-0.0051169,0.000,0.000,0.000,0.000,true,false,_M,Yorkshire,
