nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
HUMR-1,T_HUMR-1,48W100000HUMR-1N,CCGT,VPI Immingham LLP,T,TRUE,HUMR-1,ICHPLLP,-30,1283,P,0.0044623,-12,-12,513.2,513.2,TRUE,FALSE,,,
PEHE-1,T_PEHE-1,48W000000PEHE-15,CCGT,SSE Thermal Generation,T,TRUE,Peterhead Block 1,SSETGSL,0,1200,P,-0.0560366,0,0,480,480,TRUE,FALSE,,,
SPLN-1,T_SPLN-1,48W000000SPLN-1A,CCGT,Spalding Energy Company Ltd,T,TRUE,Spalding Power Station,SPAL,-10,950,P,0.0149883,-4,-4,380,380,TRUE,FALSE,,,
MRWD-1,T_MRWD-1,48W000000MRWD-1P,CCGT,Marchwood Power Limited,T,TRUE,Marchwood Power Ltd,MPL,-15,920,P,0.0225389,-6,-6,368,368,TRUE,FALSE,,,
STH-TFE01,2__HTGPL000,,,TotalEnergies Gas & Power Ltd,G,TRUE,2__HTGPL000,TFEGP,-257.229,912.53,C,0.0225389,-127.303,-82.982,451.611,294.382,FALSE,FALSE,_H,Southern,
LAGA-1,T_LAGA-1,48W000000LAGA-14,CCGT,EP UK INVESTMENTS LIMITED,T,TRUE,Langage Power Station,EPUKI,-30,905,P,0.024847,-12,-12,362,362,TRUE,FALSE,,,
KEAD-2,T_KEAD-2,48W000000KEAD-23,CCGT,Keadby Generation Limited,T,TRUE,Keadby-2 Main,KGL,-20,887.26,P,0.0044623,-8,-8,354.904,354.904,TRUE,FALSE,,,
SUTB-1,T_SUTB-1,48W000000SUTB-1P,CCGT,SUTTON BRIDGE POWER GENERATION,T,TRUE,BMUid for Sutton Bridge Power,SUTTBRGE,-8,850,P,0.0083715,-3.2,-3.2,340,340,TRUE,FALSE,,,
SEAB-1,T_SEAB-1,48W000000SEAB-1V,CCGT,Seabank Power Limited,T,TRUE,Seabank Power Module,SEABANK,-11,830,P,0.024847,-4.4,-4.4,332,332,TRUE,FALSE,,,
SHBA-1,T_SHBA-1,48W000000SHBA-1C,CCGT,EP UK INVESTMENTS LIMITED,T,TRUE,SOUTH HUMBER BANK P/S PHASE 1,EPUKI,-10,821.4,P,0.0044623,-4,-4,328.56,328.56,TRUE,FALSE,,,
DAMC-1,T_DAMC-1,48W000000DAMC-1M,CCGT,VPI Power Limited,T,TRUE,Damhead Creek Ltd.,SPGEN01,-12,820,P,0.0136162,-4.8,-4.8,328,328,TRUE,FALSE,,,
ROCK-1,T_ROCK-1,48W000000ROCK-16,CCGT,Rocksavage Power Company Ltd,T,TRUE,Rocksavage Power Station,RPCL,-13.2,810,P,0.01133,-5.28,-5.28,324,324,TRUE,FALSE,,,
COSO-1,T_COSO-1,48W000000COSO-1F,CCGT,Coryton Energy Company Ltd,T,TRUE,Coryton Power Station,CECL,-16.835,800,P,0.0083715,-6.734,-6.734,320,320,TRUE,FALSE,,,
DIDCB5,T_DIDCB5,48W000000DIDCB5C,CCGT,RWE Generation UK plc,T,TRUE,Didcot B main unit 5,INNOGY01,-10,770,P,0.0225389,-4,-4,308,308,TRUE,FALSE,,,
KEAD-1,T_KEAD-1,48W000000KEAD-15,CCGT,Keadby Generation Limited,T,TRUE,KGL CCGT 1,KGL,-11,764,P,0.0044623,-4.4,-4.4,305.6,305.6,TRUE,FALSE,,,
LBAR-1,T_LBAR-1,48W000000LBAR-1Y,CCGT,RWE Generation UK plc,T,TRUE,Little Barford main unit 1,INNOGY01,-20,750,P,0.0083715,-8,-8,300,300,TRUE,FALSE,,,
MEDP-1,T_MEDP-1,48W000000MEDP-12,CCGT,Medway Power Ltd,T,TRUE,Medway Power,MEDWAY,-20,750,P,0.0136162,-8,-8,300,300,TRUE,FALSE,,,
RYHPS-1,T_RYHPS-1,48W00000RYHPS-1J,CCGT,VPI Power Limited,T,TRUE,T_RYHPS-1,SPGEN01,-15,720.98,P,0.0083715,-6,-6,288.392,288.392,TRUE,FALSE,,,
DIDCB6,T_DIDCB6,48W000000DIDCB6A,CCGT,RWE Generation UK plc,T,TRUE,Didcot B main unit 6,INNOGY01,-10,720,P,0.0225389,-4,-4,288,288,TRUE,FALSE,,,
TORN-2,T_TORN-2,48W000000TORN-2E,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Torness Generator 2,BEGL001,-35,700,P,-0.0377779,-14,-14,280,280,TRUE,FALSE,,,
DRAXX-2,T_DRAXX-2,48W00000DRAXX-2C,BIOMASS,Drax Power Ltd,T,TRUE,T_DRAXX-2,DRAX,-25.26,669.4,P,0.0044623,-10.104,-10.104,267.76,267.76,TRUE,FALSE,,,
DRAXX-1,T_DRAXX-1,48W00000DRAXX-1E,BIOMASS,Drax Power Ltd,T,TRUE,T_DRAXX-1,DRAX,0,665.248,P,0.0044623,0,0,266.099,266.099,TRUE,FALSE,,,
DRAXX-3,T_DRAXX-3,48W00000DRAXX-3A,BIOMASS,Drax Power Ltd,T,TRUE,T_DRAXX-3,DRAX,-32.241,661.4,P,0.0044623,-12.896,-12.896,264.56,264.56,TRUE,FALSE,,,
HEYM27,T_HEYM27,48W000000HEYM27Y,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Heysham 2 Generator 7,BEGL001,-27.008,660,P,0.0039537,-10.803,-10.803,264,264,TRUE,FALSE,,,
HEYM28,T_HEYM28,48W000000HEYM28W,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Heysham 2 Generator 8,BEGL001,-25,660,P,0.0039537,-10,-10,264,264,TRUE,FALSE,,,
TORN-1,T_TORN-1,48W000000TORN-1G,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Torness Generator 1,BEGL001,-35,652,P,-0.0377779,-14,-14,260.8,260.8,TRUE,FALSE,,,
DRAXX-4,T_DRAXX-4,48W00000DRAXX-48,BIOMASS,Drax Power Ltd,T,TRUE,T_DRAXX-4,DRAX,-32.48,645,P,0.0044623,-12.992,-12.992,258,258,TRUE,FALSE,,,
DRAXX-5,T_DRAXX-5,48W00000DRAXX-56,COAL,Drax Power Ltd,T,TRUE,T_DRAXX-5,DRAX,0,645,P,0.0044623,0,0,258,258,TRUE,FALSE,,,
DRAXX-6,T_DRAXX-6,48W00000DRAXX-64,COAL,Drax Power Ltd,T,TRUE,T_DRAXX-6,DRAX,-31.945,645,P,0.0044623,-12.778,-12.778,258,258,TRUE,FALSE,,,
SIZB-1,T_SIZB-1,48W000000SIZB-1U,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Sizewell B Genrator 1,BEGL001,-20,630,P,0.0083715,-8,-8,252,252,TRUE,FALSE,,,
SIZB-2,T_SIZB-2,48W000000SIZB-2S,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Sizewell B Genrator 2,BEGL001,-20,630,P,0.0083715,-8,-8,252,252,TRUE,FALSE,,,
HRTL-1,T_HRTL-1,48W000000HRTL-16,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Hartlepool Generator 1,BEGL001,-45,620,P,-0.0004839,-18,-18,248,248,TRUE,FALSE,,,
HRTL-2,T_HRTL-2,48W000000HRTL-24,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Hartlepool Generator 2,BEGL001,-47.928,620,P,-0.0004839,-19.171,-19.171,248,248,TRUE,FALSE,,,
HEYM11,T_HEYM11,48W000000HEYM11C,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Heysham 1 Generator 1,BEGL001,-45,610,P,0.0039537,-18,-18,244,244,TRUE,FALSE,,,
HEYM12,T_HEYM12,48W000000HEYM12A,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Heysham 1 Generator 2,BEGL001,-47,585,P,0.0039537,-18.8,-18.8,234,234,TRUE,FALSE,,,
SHBA-2,T_SHBA-2,48W000000SHBA-2A,CCGT,EP UK INVESTMENTS LIMITED,T,TRUE,SOUTH HUMBER BANK P/S PHASE 2,EPUKI,-10,580,P,0.0044623,-4,-4,232,232,TRUE,FALSE,,,
HUNB-7,T_HUNB-7,48W000000HUNB-79,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Hunterston B Generator 7,BEGL001,0,510,P,-0.0070039,0,0,204,204,TRUE,FALSE,,,
HUNB-8,T_HUNB-8,48W000000HUNB-87,NUCLEAR,EDF Energy Nuclear Generation,T,TRUE,Hunterston B Generator 8,BEGL001,0,510,P,-0.0070039,0,0,204,204,TRUE,FALSE,,,
WBUPS-2,T_WBUPS-2,48W00000WBUPS-2N,COAL,EDF Energy (Thermal Generation,T,TRUE,West Burton Unit 02,WBURTONB,-30,503.7,P,0.0091936,-12,-12,201.48,201.48,TRUE,FALSE,,,
WBUPS-3,T_WBUPS-3,48W00000WBUPS-3L,COAL,EDF Energy (Thermal Generation,T,TRUE,West Burton Unit 03,WBURTONB,-30,503,P,0.0091936,-12,-12,201.2,201.2,TRUE,FALSE,,,
BAGE-1,T_BAGE-1,48W000000BAGE-1L,CCGT,Baglan Operations Ltd,T,TRUE,BAGE-1,BAGLAN,-12,500,P,0.0124353,-4.8,-4.8,200,200,TRUE,FALSE,,,
WBUPS-4,T_WBUPS-4,48W00000WBUPS-4J,COAL,EDF Energy (Thermal Generation,T,TRUE,West Burton Unit 04,WBURTONB,-30,489,P,0.0091936,-12,-12,195.6,195.6,TRUE,FALSE,,,
WBUPS-1,T_WBUPS-1,48W00000WBUPS-1P,COAL,EDF Energy (Thermal Generation,T,TRUE,West Burton Unit 01,WBURTONB,-30,484,P,0.0091936,-12,-12,193.6,193.6,TRUE,FALSE,,,
PEMB-11,T_PEMB-11,48W00000PEMB-11T,CCGT,RWE Generation UK plc,T,TRUE,Pembroke Unit 11,INNOGY01,-15,475,P,0.0211515,-6,-6,190,190,TRUE,FALSE,,,
PEMB-21,T_PEMB-21,48W00000PEMB-21Q,CCGT,RWE Generation UK plc,T,TRUE,Pembroke Unit 21,INNOGY01,-15,475,P,0.0211515,-6,-6,190,190,TRUE,FALSE,,,
PEMB-31,T_PEMB-31,48W00000PEMB-31N,CCGT,RWE Generation UK plc,T,TRUE,Pembroke Unit 31,INNOGY01,-15,475,P,0.0211515,-6,-6,190,190,TRUE,FALSE,,,
PEMB-41,T_PEMB-41,48W00000PEMB-41K,CCGT,RWE Generation UK plc,T,TRUE,Pembroke Unit 41,INNOGY01,-15,475,P,0.0211515,-6,-6,190,190,TRUE,FALSE,,,
PEMB-51,T_PEMB-51,48W00000PEMB-51H,CCGT,RWE Generation UK plc,T,TRUE,Pembroke Unit 51,INNOGY01,-15,475,P,0.0211515,-6,-6,190,190,TRUE,FALSE,,,
CARR-1,T_CARR-1,48W000000CARR-1I,CCGT,Carrington Power Ltd,T,TRUE,Carrington Power Ltd - Unit 1,CARRINGT,-10,470,P,0.01133,-4,-4,188,188,TRUE,FALSE,,,
